index,link,download,error,type,duration
95,http://www.youtube.com/watch?v=hIYXuPwbXzo,yes,no,kinh_te,39
96,http://www.youtube.com/watch?v=nzBqSYAL2dQ,yes,no,kinh_te,40
97,http://www.youtube.com/watch?v=slBGuRaTqb8,yes,no,kinh_te,41
98,http://www.youtube.com/watch?v=uj_yxbLAtyc,yes,no,kinh_te,41
99,http://www.youtube.com/watch?v=6hxPQlNYhYA,yes,no,kinh_te,43
100,http://www.youtube.com/watch?v=s17hsRu-fYc,yes,no,kinh_te,40
101,http://www.youtube.com/watch?v=vtRCbzVrMF8,yes,no,kinh_te,40
102,http://www.youtube.com/watch?v=hy7P6nJuuPc,yes,no,kinh_te,55
103,http://www.youtube.com/watch?v=dWs0gvxHYaE,yes,no,kinh_te,51
104,http://www.youtube.com/watch?v=s1zYQZ7ysyg,yes,no,kinh_te,47
105,http://www.youtube.com/watch?v=hvyPOrylF5E,yes,no,kinh_te,52
106,http://www.youtube.com/watch?v=76ym0M2bA1s,yes,no,kinh_te,51
107,http://www.youtube.com/watch?v=QbxGtMhc1dM,yes,no,kinh_te,52
108,http://www.youtube.com/watch?v=xkl1pfmnrWk,yes,no,kinh_te,50
109,http://www.youtube.com/watch?v=DJABEpOUAqc,yes,no,kinh_te,51
110,http://www.youtube.com/watch?v=QCqLjCvGPR8,yes,no,kinh_te,53
111,http://www.youtube.com/watch?v=UtgQYfA2CwA,yes,no,kinh_te,51
112,http://www.youtube.com/watch?v=IL_mZ3rzxQU,yes,no,kinh_te,52
113,http://www.youtube.com/watch?v=Wlom4UaHZow,yes,no,kinh_te,48
114,http://www.youtube.com/watch?v=QjtaUUx28zs,yes,no,kinh_te,49
115,http://www.youtube.com/watch?v=3v5_VVh0k1M,yes,no,kinh_te,49
116,http://www.youtube.com/watch?v=4w7_5O4Rhl0,yes,no,kinh_te,48
117,http://www.youtube.com/watch?v=ScszHv1tGsI,yes,no,kinh_te,53
118,http://www.youtube.com/watch?v=bFHXCumfWWA,yes,no,phap_luat,68
119,http://www.youtube.com/watch?v=75PZ7LgSLfU,yes,no,phap_luat,50
120,http://www.youtube.com/watch?v=OW6vKBnRrkk,yes,no,phap_luat,73
121,http://www.youtube.com/watch?v=wgY6Z6bVlbY,yes,no,phap_luat,42
122,http://www.youtube.com/watch?v=ltluKzWfly4,yes,no,phap_luat,96
123,http://www.youtube.com/watch?v=Nd_5dbluK_0,yes,no,phap_luat,64
124,http://www.youtube.com/watch?v=YDWmiPbU7RE,yes,no,phap_luat,45
125,http://www.youtube.com/watch?v=N_jCaCMmCyk,yes,no,phap_luat,44
126,http://www.youtube.com/watch?v=BN-b5M3prAk,yes,no,phap_luat,48
127,http://www.youtube.com/watch?v=6bmAtVj1_kE,yes,no,phap_luat,63
128,http://www.youtube.com/watch?v=MbZAzKR89SA,yes,no,phap_luat,70
129,http://www.youtube.com/watch?v=c84qo05umqg,yes,no,phap_luat,63
130,http://www.youtube.com/watch?v=EGRYbmjHPhA,yes,no,phap_luat,73
131,http://www.youtube.com/watch?v=D1RD_eeJa6g,yes,no,phap_luat,46
132,http://www.youtube.com/watch?v=MDef38hoILg,yes,no,phap_luat,23
133,http://www.youtube.com/watch?v=fWWqmxjOlFk,yes,no,phap_luat,45
134,http://www.youtube.com/watch?v=xPcFJp_pm7M,yes,no,phap_luat,65
135,http://www.youtube.com/watch?v=iM6-lK3TqQg,yes,no,phap_luat,65
136,http://www.youtube.com/watch?v=88ojiXMZPnQ,yes,no,phap_luat,66
137,http://www.youtube.com/watch?v=MmoEAOo4V_E,yes,no,phap_luat,88
138,http://www.youtube.com/watch?v=xUkoSYQEdWE,yes,no,phap_luat,69
139,http://www.youtube.com/watch?v=m8EzKzYpDzE,yes,no,phap_luat,69
140,http://www.youtube.com/watch?v=dpA2oXKUsdk,yes,no,phap_luat,67
141,http://www.youtube.com/watch?v=4xdew8Sv_S8,yes,no,phap_luat,63
142,http://www.youtube.com/watch?v=meKpmBRFWWg,yes,no,phap_luat,43
143,http://www.youtube.com/watch?v=S9LLDEkp2CQ,yes,no,phap_luat,43
144,http://www.youtube.com/watch?v=SuTJMI2ZvDY,yes,no,phap_luat,66
145,http://www.youtube.com/watch?v=Jre8ePoDk3w,yes,no,phap_luat,66
146,http://www.youtube.com/watch?v=6WfnPQndag4,yes,no,phap_luat,67
147,http://www.youtube.com/watch?v=RAdKPZO-JWU,yes,no,phap_luat,48
148,http://www.youtube.com/watch?v=w5mVMGni-gc,yes,no,phap_luat,23
149,http://www.youtube.com/watch?v=5gqR0tMoATM,yes,no,phap_luat,116
150,http://www.youtube.com/watch?v=k_oybYiAjE0,yes,no,phap_luat,47
151,http://www.youtube.com/watch?v=PhOLj5k7__o,yes,no,phap_luat,47
152,http://www.youtube.com/watch?v=mvJ1GJvnEOI,yes,no,phap_luat,48
153,http://www.youtube.com/watch?v=1a2JL5stfC0,yes,no,phap_luat,48
154,http://www.youtube.com/watch?v=FDbxrnB6jGQ,yes,no,phap_luat,44
155,http://www.youtube.com/watch?v=tDW9FJpG980,yes,no,phap_luat,69
156,http://www.youtube.com/watch?v=XBnoRSWjpig,yes,no,phap_luat,43
157,http://www.youtube.com/watch?v=VBp-UkWp21w,yes,no,phap_luat,40
158,http://www.youtube.com/watch?v=RizO1Zgxh7s,yes,no,phap_luat,42
159,http://www.youtube.com/watch?v=aTR6HF5hvZ0,yes,no,phap_luat,67
160,http://www.youtube.com/watch?v=ZrIDLANTBAI,yes,no,phap_luat,24
161,http://www.youtube.com/watch?v=9IaQzLl6u4M,yes,no,phap_luat,45
162,http://www.youtube.com/watch?v=9wCbxevLVDE,yes,no,phap_luat,25
163,http://www.youtube.com/watch?v=Ci2JYI8PSx8,yes,no,phap_luat,24
164,http://www.youtube.com/watch?v=FN0F7dnn5a8,yes,no,phap_luat,25
165,http://www.youtube.com/watch?v=mEXbt3qTygE,yes,no,doi_song,24
166,http://www.youtube.com/watch?v=x0RtuF63r9E,yes,no,doi_song,24
167,http://www.youtube.com/watch?v=gVc0C9uUBfI,yes,no,doi_song,25
168,http://www.youtube.com/watch?v=NMiXWIlpE4s,yes,no,doi_song,26
169,http://www.youtube.com/watch?v=ILY4qukdTl4,yes,no,doi_song,27
170,http://www.youtube.com/watch?v=5X9XcJHLhh4,yes,no,doi_song,26
171,http://www.youtube.com/watch?v=KOLX9Uk1Spc,yes,no,doi_song,24
172,http://www.youtube.com/watch?v=FMDbAJnHvIY,yes,no,doi_song,25
173,http://www.youtube.com/watch?v=y8F_Bl2Ovtk,yes,no,doi_song,25
174,http://www.youtube.com/watch?v=vy7pLp81PV0,yes,no,doi_song,24
175,http://www.youtube.com/watch?v=vy7pLp81PV0,yes,no,doi_song,24
176,http://www.youtube.com/watch?v=Gk2rz0Fb3Fk,yes,no,doi_song,26
177,http://www.youtube.com/watch?v=Gk2rz0Fb3Fk,yes,no,doi_song,26
178,http://www.youtube.com/watch?v=OdFUgSq2tF4,yes,no,doi_song,25
179,http://www.youtube.com/watch?v=OdFUgSq2tF4,yes,no,doi_song,25
180,http://www.youtube.com/watch?v=RpDuApMXa9g,yes,no,doi_song,25
181,http://www.youtube.com/watch?v=RpDuApMXa9g,yes,no,doi_song,25
182,http://www.youtube.com/watch?v=sd9wIMFKcFE,yes,no,doi_song,23
183,http://www.youtube.com/watch?v=sd9wIMFKcFE,yes,no,doi_song,23
184,http://www.youtube.com/watch?v=_9A7mkh59ZM,yes,no,doi_song,25
185,http://www.youtube.com/watch?v=oSqQG7cIPlw,yes,no,doi_song,25
186,http://www.youtube.com/watch?v=VOmHgEcBmGc,yes,no,doi_song,24
